"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate successful user creation","302","Validate User Creation","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
"Validate successful retrieval of users list","173","Validate Get Users List","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
"Validate successful login with valid credentials","365","Validate Successful Login","","2026-05-28","passed","2026-05-28","Auth Test","Tests","",""
"Validate API returns forbidden when x-api-key is invalid","193","Validate Request With Invalid API Key","","2026-05-28","passed","2026-05-28","Security Test","Tests","",""
"Validate API response for non existing user","312","Validate Non Existing User","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
"Validate login error when password is missing","162","Validate Login Without Password","","2026-05-28","passed","2026-05-28","Auth Test","Tests","",""
"Validate relevant security headers in API response","23","Validate User Response Security Headers","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
"Validate API returns unauthorized when x-api-key is missing","327","Validate Request Without API Key","","2026-05-28","passed","2026-05-28","Security Test","Tests","",""
"Validate successful user update","169","Validate User Update","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
"Validate successful user deletion","159","Validate User Deletion","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
"Validate successful retrieval of an existing user","197","Validate Get Existing User","","2026-05-28","passed","2026-05-28","Users Test","Tests","",""
